"","Pollster","Start.Date","End.Date","Entry.Date.Time","Number.of.Observations","Population","Mode","Clinton","Sanders","Biden","Chafee","Lessig","O.Malley","Webb","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Poll.Length","DOW","Weekday","Month","MonthName","Quarter","Year"
"11","Ipsos/Reuters",2016-02-06,2016-02-10,2016-02-11 16:07:52,600,"Registered Voters - Democrat","Internet",55,43,NA,NA,NA,NA,NA,3,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23740",NA,"Nonpartisan","None",4,"6","Saturday","02","February",1,"2016"
"12","Morning Consult",2016-02-03,2016-02-07,2016-02-09 22:39:37,1988,"Registered Voters - Democrat","Internet",50,37,NA,NA,NA,NA,NA,8,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23731",NA,"Nonpartisan","None",4,"3","Wednesday","02","February",1,"2016"
"13","NBC/SurveyMonkey",2016-02-01,2016-02-07,2016-02-10 16:02:26,3154,"Registered Voters - Democrat","Internet",51,39,NA,NA,NA,1,NA,8,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23733",NA,"Nonpartisan","None",6,"1","Monday","02","February",1,"2016"
"14","Rasmussen",2016-02-03,2016-02-04,2016-02-07 16:02:26,574,"Likely Voters - Democrat","Automated Phone",50,32,NA,NA,NA,NA,NA,6,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-23698",NA,"Nonpartisan","None",1,"3","Wednesday","02","February",1,"2016"
"15","Quinnipiac",2016-02-02,2016-02-04,2016-02-05 12:41:40,484,"Registered Voters - Democrat","Live Phone",44,42,NA,NA,NA,NA,NA,13,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23675",NA,"Nonpartisan","None",2,"2","Tuesday","02","February",1,"2016"
"16","Morning Consult",2016-02-02,2016-02-03,2016-02-03 19:49:33,719,"Registered Voters","Internet",51,35,NA,NA,NA,NA,NA,8,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23659",NA,"Nonpartisan","None",1,"2","Tuesday","02","February",1,"2016"
"17","PPP (D)",2016-02-02,2016-02-03,2016-02-04 15:36:54,517,"Likely Voters - Democrat","IVR/Online",53,32,NA,NA,NA,NA,NA,14,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-23664",NA,"Pollster","Dem",1,"2","Tuesday","02","February",1,"2016"
"18","Ipsos/Reuters",2016-01-30,2016-02-03,2016-02-04 16:16:33,619,"Registered Voters - Democrat","Internet",54,39,NA,NA,NA,2,NA,5,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23665",NA,"Nonpartisan","None",4,"6","Saturday","01","January",1,"2016"
"19","Morning Consult",2016-01-29,2016-02-01,2016-02-01 21:20:47,1928,"Registered Voters - Democrat","Internet",50,34,NA,NA,NA,3,NA,9,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23648",NA,"Nonpartisan","None",3,"5","Friday","01","January",1,"2016"
"20","NBC/SurveyMonkey",2016-01-25,2016-01-31,2016-02-04 20:42:44,3233,"Registered Voters - Democrat","Internet",50,39,NA,NA,NA,2,NA,8,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23669",NA,"Nonpartisan","None",6,"1","Monday","01","January",1,"2016"
"21","YouGov/Economist",2016-01-27,2016-01-30,2016-01-31 20:16:38,531,"Likely Voters - Democrat","Internet",52,40,NA,NA,NA,2,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23634",NA,"Nonpartisan","None",3,"3","Wednesday","01","January",1,"2016"
"22","IBD/TIPP",2016-01-22,2016-01-27,2016-01-28 20:46:50,349,"Registered Voters - Democrat","Live Phone",50,38,NA,NA,NA,2,NA,5,"http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-23624",NA,"Nonpartisan","None",5,"5","Friday","01","January",1,"2016"
"23","ABC/Post",2016-01-21,2016-01-24,2016-01-27 12:20:22,406,"Registered Voters - Democrat","Live Phone",55,36,NA,NA,NA,4,NA,3,"http://elections.huffingtonpost.com/pollster/polls/abc-post-23602",NA,"Nonpartisan","None",3,"4","Thursday","01","January",1,"2016"
"24","Morning Consult",2016-01-21,2016-01-24,2016-01-26 20:19:29,1797,"Registered Voters - Democrat","Internet",48,31,NA,NA,NA,2,NA,12,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23600",NA,"Nonpartisan","None",3,"4","Thursday","01","January",1,"2016"
"25","CNN",2016-01-21,2016-01-24,2016-01-26 00:28:17,440,"Registered Voters - Democrat","Live Phone",52,38,NA,NA,NA,2,NA,2,"http://elections.huffingtonpost.com/pollster/polls/cnn-23589",NA,"Nonpartisan","None",3,"4","Thursday","01","January",1,"2016"
"26","Public Religion Research Institute",2016-01-20,2016-01-24,2016-01-28 00:32:10,463,"Adults - Democrat","Live Phone",51,33,NA,NA,NA,3,NA,11,"http://elections.huffingtonpost.com/pollster/polls/public-religion-research-institute-23613",NA,"Nonpartisan","None",4,"3","Wednesday","01","January",1,"2016"
"27","NBC/SurveyMonkey",2016-01-18,2016-01-24,2016-01-26 20:10:37,2780,"Registered Voters - Democrat","Internet",51,37,NA,NA,NA,2,NA,1,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23599",NA,"Nonpartisan","None",6,"1","Monday","01","January",1,"2016"
"28","FOX",2016-01-18,2016-01-21,2016-01-25 23:21:24,375,"Likely Voters - Democrat","Live Phone",49,37,NA,NA,NA,1,NA,10,"http://elections.huffingtonpost.com/pollster/polls/fox-23588",NA,"Nonpartisan","None",3,"1","Monday","01","January",1,"2016"
"29","Zogby (Internet)",2016-01-19,2016-01-20,2016-01-24 22:21:57,373,"Likely Voters - Democrat","Internet",49,27,NA,NA,NA,10,NA,14,"http://elections.huffingtonpost.com/pollster/polls/zogby-internet-23575",NA,"Nonpartisan","None",1,"2","Tuesday","01","January",1,"2016"
"30","Ipsos/Reuters",2016-01-16,2016-01-20,2016-01-21 15:54:49,629,"Adults - Democrat","Internet",54,35,NA,NA,NA,4,NA,7,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23542",NA,"Nonpartisan","None",4,"6","Saturday","01","January",1,"2016"
"31","YouGov/Economist",2016-01-15,2016-01-19,2016-01-21 13:23:27,533,"Likely Voters - Democrat","Internet",50,41,NA,NA,NA,2,NA,5,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23539",NA,"Nonpartisan","None",4,"5","Friday","01","January",1,"2016"
"32","Monmouth University",2016-01-15,2016-01-18,2016-01-19 17:15:25,352,"Registered Voters - Democrat","Live Phone",52,37,NA,NA,NA,2,NA,8,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-23523",NA,"Nonpartisan","None",3,"5","Friday","01","January",1,"2016"
"33","Morning Consult",2016-01-14,2016-01-17,2016-01-19 19:11:34,1805,"Registered Voters - Democrat","Internet",54,30,NA,NA,NA,2,NA,10,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23526",NA,"Nonpartisan","None",3,"4","Thursday","01","January",1,"2016"
"34","NBC/SurveyMonkey",2016-01-11,2016-01-17,2016-01-19 18:44:51,3259,"Registered Voters - Democrat","Internet",52,36,NA,NA,NA,1,NA,9,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23524",NA,"Nonpartisan","None",6,"1","Monday","01","January",1,"2016"
"35","Ipsos/Reuters",2016-01-09,2016-01-13,2016-01-14 16:55:11,696,"Adults - Democrat","Internet",54,35,NA,NA,NA,4,NA,8,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23501",NA,"Nonpartisan","None",4,"6","Saturday","01","January",1,"2016"
"36","NBC/WSJ",2016-01-09,2016-01-13,2016-01-17 14:29:52,400,"Likely Voters - Democrat","Live Phone",59,34,NA,NA,NA,2,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-23507",NA,"Nonpartisan","None",4,"6","Saturday","01","January",1,"2016"
"37","YouGov/Economist",2016-01-09,2016-01-11,2016-01-19 23:14:04,620,"Likely Voters - Democrat","Internet",58,33,NA,NA,NA,3,NA,5,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23528",NA,"Nonpartisan","None",2,"6","Saturday","01","January",1,"2016"
"38","Gravis Marketing/One America News",2016-01-10,2016-01-10,2016-01-12 03:26:32,890,"Likely Voters - Democrat","Automated Phone",65,26,NA,NA,NA,9,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-23477",NA,"Sponsor","Rep",0,"0","Sunday","01","January",1,"2016"
"39","Morning Consult",2016-01-08,2016-01-10,2016-01-14 16:33:59,909,"Registered Voters - Democrat","Internet",49,32,NA,NA,NA,3,NA,10,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23500",NA,"Nonpartisan","None",2,"5","Friday","01","January",1,"2016"
"40","CBS/Times",2016-01-07,2016-01-10,2016-01-12 23:50:01,389,"Likely Voters - Democrat","Live Phone",48,41,NA,NA,NA,2,NA,6,"http://elections.huffingtonpost.com/pollster/polls/cbs-times-23488",NA,"Nonpartisan","None",3,"4","Thursday","01","January",1,"2016"
"41","NBC/SurveyMonkey",2016-01-04,2016-01-10,2016-01-12 16:31:24,2619,"Registered Voters - Democrat","Internet",52,37,NA,NA,NA,2,NA,1,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23479",NA,"Nonpartisan","None",6,"1","Monday","01","January",1,"2016"
"42","IBD/TIPP",2016-01-04,2016-01-08,2016-01-11 14:07:44,397,"Registered Voters - Democrat","Live Phone",43,39,NA,NA,NA,2,NA,9,"http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-23468",NA,"Nonpartisan","None",4,"1","Monday","01","January",1,"2016"
"43","FOX",2016-01-04,2016-01-07,2016-01-08 23:44:48,360,"Likely Voters - Democrat","Live Phone",54,39,NA,NA,NA,3,NA,2,"http://elections.huffingtonpost.com/pollster/polls/fox-23457",NA,"Nonpartisan","None",3,"1","Monday","01","January",1,"2016"
"44","Ipsos/Reuters",2016-01-02,2016-01-06,2016-01-07 17:18:01,709,"Adults - Democrat","Internet",58,30,NA,NA,NA,3,NA,9,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23449",NA,"Nonpartisan","None",4,"6","Saturday","01","January",1,"2016"
"45","YouGov/Economist",2015-12-31,2016-01-06,2016-01-10 22:15:48,533,"Likely Voters - Democrat","Internet",54,37,NA,NA,NA,3,NA,4,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23466",NA,"Nonpartisan","None",6,"4","Thursday","12","December",4,"2015"
"46","NBC/SurveyMonkey",2015-12-28,2016-01-03,2016-01-05 13:21:29,1060,"Registered Voters - Democrat","Internet",53,36,NA,NA,NA,2,NA,8,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23438",NA,"Nonpartisan","None",6,"1","Monday","12","December",4,"2015"
"47","Ipsos/Reuters",2015-12-26,2015-12-30,2015-12-31 18:03:07,825,"Adults - Democrat","Internet",57,32,NA,NA,NA,3,NA,8,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23429",NA,"Nonpartisan","None",4,"6","Saturday","12","December",4,"2015"
"48","Ipsos/Reuters",2015-12-19,2015-12-23,2015-12-24 02:46:55,603,"Adults - Democrat","Internet",58,31,NA,NA,NA,4,NA,7,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23413",NA,"Nonpartisan","None",4,"6","Saturday","12","December",4,"2015"
"49","Rasmussen",2015-12-20,2015-12-21,2015-12-22 21:00:14,546,"Likely Voters - Democrat","Automated Phone",46,30,NA,NA,NA,7,NA,7,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-23402",NA,"Nonpartisan","None",1,"0","Sunday","12","December",4,"2015"
"50","YouGov/Economist",2015-12-18,2015-12-21,2015-12-28 15:19:13,565,"Likely Voters - Democrat","Internet",53,39,NA,NA,NA,2,NA,4,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23414",NA,"Nonpartisan","None",3,"5","Friday","12","December",4,"2015"
"51","CNN",2015-12-17,2015-12-21,2015-12-23 21:20:00,414,"Registered Voters - Democrat","Live Phone",50,34,NA,NA,NA,3,NA,5,"http://elections.huffingtonpost.com/pollster/polls/cnn-23412",NA,"Nonpartisan","None",4,"4","Thursday","12","December",4,"2015"
"52","Emerson College Polling Society",2015-12-17,2015-12-20,2015-12-21 16:37:14,332,"Likely Voters - Democrat","Automated Phone",65,26,NA,NA,NA,2,NA,4,"http://elections.huffingtonpost.com/pollster/polls/emerson-college-polling-society-23395",NA,"Nonpartisan","None",3,"4","Thursday","12","December",4,"2015"
"53","Quinnipiac",2015-12-16,2015-12-20,2015-12-22 14:45:28,462,"Registered Voters - Democrat","Live Phone",61,30,NA,NA,NA,2,NA,7,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23400",NA,"Nonpartisan","None",4,"3","Wednesday","12","December",4,"2015"
"54","FOX",2015-12-16,2015-12-17,2015-12-18 23:04:23,390,"Likely Voters - Democrat","Live Phone",56,34,NA,NA,NA,2,NA,4,"http://elections.huffingtonpost.com/pollster/polls/fox-23385",NA,"Nonpartisan","None",1,"3","Wednesday","12","December",4,"2015"
"55","PPP (D)",2015-12-16,2015-12-17,2015-12-18 19:53:22,525,"Likely Voters - Democrat","IVR/Online",56,28,NA,NA,NA,9,NA,7,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-23381",NA,"Pollster","Dem",1,"3","Wednesday","12","December",4,"2015"
"56","Ipsos/Reuters",2015-12-12,2015-12-16,2015-12-17 18:34:40,765,"Adults - Democrat","Internet",58,29,NA,NA,NA,3,NA,10,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23361",NA,"Nonpartisan","None",4,"6","Saturday","12","December",4,"2015"
"57","Morning Consult",2015-12-11,2015-12-15,2015-12-15 20:45:27,1790,"Registered Voters - Democrat","Internet",52,27,NA,NA,NA,2,NA,12,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23333",NA,"Nonpartisan","None",4,"5","Friday","12","December",4,"2015"
"58","ABC/Post",2015-12-10,2015-12-13,2015-12-18 12:17:41,377,"Registered Voters - Democrat","Live Phone",59,28,NA,NA,NA,5,NA,8,"http://elections.huffingtonpost.com/pollster/polls/abc-post-23378",NA,"Nonpartisan","None",3,"4","Thursday","12","December",4,"2015"
"59","Monmouth University",2015-12-10,2015-12-13,2015-12-16 16:37:42,374,"Registered Voters - Democrat","Live Phone",59,26,NA,NA,NA,4,NA,11,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-23335",NA,"Nonpartisan","None",3,"4","Thursday","12","December",4,"2015"
"60","NBC/WSJ",2015-12-06,2015-12-09,2015-12-14 13:45:41,400,"Likely Voters - Democrat","Live Phone",56,37,NA,NA,NA,4,NA,3,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-23315",NA,"Nonpartisan","None",3,"0","Sunday","12","December",4,"2015"
"61","Ipsos/Reuters",2015-12-05,2015-12-09,2015-12-10 16:16:52,573,"Adults - Democrat","Internet",56,30,NA,NA,NA,5,NA,9,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23297",NA,"Nonpartisan","None",4,"6","Saturday","12","December",4,"2015"
"62","YouGov/Economist",2015-12-04,2015-12-09,2015-12-10 20:02:45,647,"Likely Voters - Democrat","Internet",56,35,NA,NA,NA,2,NA,5,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23301",NA,"Nonpartisan","None",5,"5","Friday","12","December",4,"2015"
"63","Gravis Marketing/One America News",2015-12-07,2015-12-08,2015-12-10 19:44:46,731,"Likely Voters - Democrat","Automated Phone",62,30,NA,NA,NA,9,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-23300",NA,"Sponsor","Rep",1,"1","Monday","12","December",4,"2015"
"64","CBS/Times",2015-12-04,2015-12-08,2015-12-10 13:16:24,384,"Likely Voters - Democrat","Live Phone",52,32,NA,NA,NA,2,NA,9,"http://elections.huffingtonpost.com/pollster/polls/cbs-times-23294",NA,"Nonpartisan","None",4,"5","Friday","12","December",4,"2015"
"65","Morning Consult",2015-12-03,2015-12-07,2015-12-08 22:24:57,808,"Registered Voters - Democrat","Internet",52,23,NA,NA,NA,2,NA,14,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23281",NA,"Nonpartisan","None",4,"4","Thursday","12","December",4,"2015"
"66","Public Religion Research Institute",2015-12-02,2015-12-06,2015-12-10 16:08:19,463,"Registered Voters - Democrat","Live Phone",52,31,NA,NA,NA,4,NA,13,"http://elections.huffingtonpost.com/pollster/polls/public-religion-research-institute-23296",NA,"Nonpartisan","None",4,"3","Wednesday","12","December",4,"2015"
"67","Suffolk/USA Today",2015-12-02,2015-12-06,2015-12-08 20:23:37,363,"Likely Voters - Democrat","Live Phone",56,29,NA,NA,NA,4,NA,11,"http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-23278",NA,"Nonpartisan","None",4,"3","Wednesday","12","December",4,"2015"
"68","IBD/TIPP",2015-11-30,2015-12-04,2015-12-07 14:56:48,392,"Registered Voters - Democrat","Live Phone",51,33,NA,NA,NA,1,NA,8,"http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-23266",NA,"Nonpartisan","None",4,"1","Monday","11","November",4,"2015"
"69","Ipsos/Reuters",2015-11-28,2015-12-02,2015-12-03 17:32:37,430,"Adults - Democrat","Internet",51,36,NA,NA,NA,4,NA,10,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23252",NA,"Nonpartisan","None",4,"6","Saturday","11","November",4,"2015"
"70","CNN",2015-11-27,2015-12-01,2015-12-04 19:25:19,403,"Registered Voters - Democrat","Live Phone",58,30,NA,NA,NA,2,NA,3,"http://elections.huffingtonpost.com/pollster/polls/cnn-23260",NA,"Nonpartisan","None",4,"5","Friday","11","November",4,"2015"
"71","Quinnipiac",2015-11-23,2015-11-30,2015-12-02 12:04:16,573,"Registered Voters - Democrat","Live Phone",60,30,NA,NA,NA,2,NA,7,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23247",NA,"Nonpartisan","None",7,"1","Monday","11","November",4,"2015"
"72","Ipsos/Reuters",2015-11-21,2015-11-25,2015-11-25 20:56:33,362,"Adults - Democrat","Internet",58,30,NA,NA,NA,6,NA,8,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23238",NA,"Nonpartisan","None",4,"6","Saturday","11","November",4,"2015"
"73","Gravis Marketing/One America News",2015-11-23,2015-11-23,2015-11-25 15:31:26,528,"Likely Voters - Democrat","Automated Phone",59,32,NA,NA,NA,8,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-23235",NA,"Sponsor","Rep",0,"1","Monday","11","November",4,"2015"
"74","YouGov/Economist",2015-11-19,2015-11-23,2015-11-25 14:14:12,764,"Likely Voters - Democrat","Internet",54,34,NA,NA,NA,4,NA,5,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23233",NA,"Nonpartisan","None",4,"4","Thursday","11","November",4,"2015"
"75","ABC/Post",2015-11-16,2015-11-19,2015-11-22 15:06:26,352,"Registered Voters - Democrat","Live Phone",60,34,NA,NA,NA,3,NA,2,"http://elections.huffingtonpost.com/pollster/polls/abc-post-23206",NA,"Nonpartisan","None",3,"1","Monday","11","November",4,"2015"
"76","FOX",2015-11-16,2015-11-19,2015-11-22 15:14:04,366,"Likely Voters - Democrat","Live Phone",55,32,NA,NA,NA,3,NA,5,"http://elections.huffingtonpost.com/pollster/polls/fox-23207",NA,"Nonpartisan","None",3,"1","Monday","11","November",4,"2015"
"77","Ipsos/Reuters",2015-11-14,2015-11-18,2015-11-19 18:29:31,1275,"Adults - Democrat","Internet",52,31,NA,NA,NA,4,NA,13,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23182",NA,"Nonpartisan","None",4,"6","Saturday","11","November",4,"2015"
"78","PPP (D)",2015-11-16,2015-11-17,2015-11-19 15:02:32,538,"Likely Voters - Democrat","IVR/Online",59,26,NA,NA,NA,7,NA,8,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-23174",NA,"Pollster","Dem",1,"1","Monday","11","November",4,"2015"
"79","Bloomberg/Selzer",2015-11-15,2015-11-17,2015-11-20 14:05:32,385,"Registered Voters - Democrat","Live Phone",55,30,NA,NA,NA,3,NA,8,"http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-23194",NA,"Nonpartisan","None",2,"0","Sunday","11","November",4,"2015"
"80","NBC/SurveyMonkey",2015-11-15,2015-11-17,2015-11-20 14:17:19,1983,"Registered Voters - Democrat","Internet",49,33,NA,NA,NA,1,NA,11,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23196",NA,"Nonpartisan","None",2,"0","Sunday","11","November",4,"2015"
"81","Morning Consult",2015-11-13,2015-11-16,2015-11-17 15:45:58,874,"Registered Voters - Democrat","Internet",57,26,NA,NA,NA,2,NA,9,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23158",NA,"Nonpartisan","None",3,"5","Friday","11","November",4,"2015"
"82","Ipsos/Reuters",2015-11-07,2015-11-11,2015-11-17 21:36:06,609,"Adults - Democrat","Internet",51,35,NA,NA,NA,3,NA,10,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23166",NA,"Nonpartisan","None",4,"6","Saturday","11","November",4,"2015"
"83","Public Religion Research Institute",2015-11-06,2015-11-10,2015-11-23 16:21:55,145,"Likely Voters - Democrat","Live Phone",62,29,NA,NA,NA,2,NA,5,"http://elections.huffingtonpost.com/pollster/polls/public-religion-research-institute-23214",NA,"Nonpartisan","None",4,"5","Friday","11","November",4,"2015"
"84","CBS/Times",2015-11-06,2015-11-10,2015-11-12 14:44:59,418,"Likely Voters - Democrat","Live Phone",52,33,NA,NA,NA,5,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/cbs-times-23120",NA,"Nonpartisan","None",4,"5","Friday","11","November",4,"2015"
"85","YouGov/Economist",2015-11-05,2015-11-09,2015-11-10 19:09:31,658,"Registered Voters - Democrat","Internet",59,31,NA,NA,0,2,NA,6,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23108",NA,"Nonpartisan","None",4,"4","Thursday","11","November",4,"2015"
"86","Morning Consult",2015-11-05,2015-11-08,2015-11-10 17:55:28,1739,"Registered Voters - Democrat","Internet",54,28,NA,NA,NA,3,NA,8,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23107",NA,"Nonpartisan","None",3,"4","Thursday","11","November",4,"2015"
"87","Ipsos/Reuters",2015-10-31,2015-11-04,2015-11-05 18:36:49,629,"Adults - Democrat","Internet",57,28,NA,NA,NA,6,NA,9,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23076",NA,"Nonpartisan","None",4,"6","Saturday","10","October",4,"2015"
"88","McClatchy/Marist",2015-10-29,2015-11-04,2015-11-13 21:32:48,511,"Registered Voters - Democrat","Live Phone",57,35,NA,NA,NA,4,NA,4,"http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-23138",NA,"Nonpartisan","None",6,"4","Thursday","10","October",4,"2015"
"89","FOX",2015-11-01,2015-11-03,2015-11-04 23:23:33,505,"Likely Voters - Democrat","Live Phone",56,31,NA,NA,NA,2,NA,4,"http://elections.huffingtonpost.com/pollster/polls/fox-23061",NA,"Nonpartisan","None",2,"0","Sunday","11","November",4,"2015"
"90","USC/LA Times/SurveyMonkey",2015-10-29,2015-11-03,2015-11-09 16:34:14,1242,"Registered Voters - Democrat","Internet",48,28,NA,NA,1,2,NA,19,"http://elections.huffingtonpost.com/pollster/polls/usc-la-times-surveymonkey-23085",NA,"Nonpartisan","None",5,"4","Thursday","10","October",4,"2015"
"91","Quinnipiac",2015-10-29,2015-11-02,2015-11-04 16:23:42,480,"Registered Voters - Democrat","Live Phone",53,35,NA,NA,1,0,NA,11,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23059",NA,"Nonpartisan","None",4,"4","Thursday","10","October",4,"2015"
"92","Morning Consult",2015-10-29,2015-11-01,2015-11-03 20:26:04,1015,"Registered Voters - Democrat","Internet",56,26,NA,NA,NA,2,NA,10,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23056",NA,"Nonpartisan","None",3,"4","Thursday","10","October",4,"2015"
"93","NBC/SurveyMonkey",2015-10-27,2015-10-29,2015-10-30 17:13:59,1226,"Registered Voters - Democrat","Internet",50,30,NA,NA,1,1,NA,12,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23030",NA,"Nonpartisan","None",2,"2","Tuesday","10","October",4,"2015"
