is_incumbent,cycle ,not_seeking_reelection,other_office_sought ,other_fec_id ,name,pty ,party ,fec_id ,pcc ,election_year,state,office,office_district,term_class,total_receipts,total_contributions,total_disbursements,outstanding_loans,cash_on_hand,cash_on_hand_date,total_independent_expenditures,independent_expenditures_supporting,independent_expenditures_opposing
False,2016,False,,,"JACOBSON, STEVEN D",IND,,P60004801,C00526475,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"CLARK, SANTA ROY ALLEN",DEM,D,P60016904,C00589697,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"CHRIS D ROCKMAN, JESUS IRON MAN MR. JR.",IND,,P60018884,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"VAUGHN, CARROGAN R",REP,R,H4MD07074,C00565200,2016,MD,H,07,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"MARSHALL, ROGER W",REP,R,H6KS01179,,2016,KS,H,01,,524731.91,341460.00,183387.74,149000.00,341344.17,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"KINLAW, MICHAEL",REP,R,S6CO00242,C00576298,2016,CO,S,00,3,0.00,0.00,0.00,0.00,0.00,2015-12-31,0.00,0.00,0.00
True,2016,False,,,"PAYNE, DONALD M., JR.",DEM,D,H2NJ10154,C00519355,2016,NJ,H,10,,192260.32,51221.34,199501.44,0.00,23379.47,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"WILLIAMSON, JARRELL",REP,R,S6CA00824,,2016,CA,S,00,3,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"KOPSICK, JOSEPH WILLIAM",OTH,,H6IL10150,C00592139,2016,IL,H,10,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"LAMBERT, DENNIS G.",GRE,,H4OH06090,,2016,OH,H,15,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"PESCAROLO, DYLAN JACOB",IND,,P60019270,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"WILEY, ALBERT LEE JR",REP,R,H0NC01036,C00353920,2016,NC,H,10,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"WALLS, JIMELLE LEANNA",DEM,D,P60017522,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
True,2016,False,,,"HECK, DENNIS",DEM,D,H0WA03161,C00472159,2016,WA,H,10,,511246.02,272439.63,193377.32,325000.00,530429.14,2015-09-30,0.00,0.00,0.00
False,2016,False,,,"MANDELA, BARACK OBAMA",DEM,D,S6CA00808,,2016,CA,S,00,3,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"FRASER, WILLIAM EDWARD",IND,,H0IL08108,C00470344,2016,IL,H,08,,548.00,105.00,8683.33,7695.37,-8135.33,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"MOHARIR, MUKUND MARTAND",IND,,S6CA00709,,2016,CA,S,00,3,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"KAY, DAVID",DEM,D,H6WA05155,,2016,WA,H,05,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"FOGG, MATTHEW",DEM,D,H6MD05222,,2016,MD,H,05,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"MENDOZA, BEN",DEM,D,H6TX16111,,2016,TX,H,16,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"A WANDRLUSTR, DOT COM",NAP,,P60013794,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"SPEARS, LINDA MARIMARIE AKA ""WHITEFEAT",IND,,H6CA21226,,2016,CA,H,21,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"STEINHORN, JASON SCOTT MR.",IND,,P60012200,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"HOWARD, WILLIAM BURN MR",IND,,P60006517,C00575407,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"ZITELLO, TAMORA V",REP,R,P60019494,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"CHAVEZ, CESAR",DEM,D,H4AZ07035,C00556696,2016,AZ,H,07,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"EVERDEEN, KATNISS MS.",IND,,P60014727,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"CASACIO, STANLEY ""STAN""",REP,R,H6PA07139,C00608067,2016,PA,H,07,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"MURPHY, ROME II",DEM,D,P60004876,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"SLAVENS, JOHN CALVIN",REP,R,H6TX03150,C00576488,2016,TX,H,03,,61859.10,26203.62,59407.78,0.00,2451.32,2016-02-10,0.00,0.00,0.00
True,2016,False,,,"ZINKE, RYAN K",REP,R,H4MT01041,C00550871,2016,MT,H,00,,2723934.75,2312537.11,2063766.67,33421.00,743983.86,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"FRANCO, RICHARD ALAN MR.",DEM,D,P60009537,C00582908,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"KENDALL, ALAN JAMES",CRV,,P60015963,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
True,2016,False,,,"CONAWAY, MICHAEL HONORABLE",REP,R,H4TX19136,C00383828,2016,TX,H,11,,966968.80,356833.66,890305.95,0.00,1110770.27,2016-02-10,0.00,0.00,0.00
False,2016,False,,,"DEAN, ANDRE",REP,R,H6TX08167,C00574764,2016,TX,H,08,,0.00,0.00,0.00,0.00,0.00,,607.58,0.00,607.58
True,2016,False,,,"RIGELL, EDWARD SCOTT MR.",REP,R,H0VA02084,C00463687,2016,VA,H,02,,705723.92,495397.02,506550.16,524500.00,362150.53,2015-12-31,0.00,0.00,0.00
True,2016,False,,,"BLUMENAUER, EARL",DEM,D,H6OR03064,C00307314,2016,OR,H,03,,712621.77,269455.29,431375.24,0.00,936294.61,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"NASIRI, MOHAMMAD ABOUS SABUR DOCTOR",OTH,,S6NC00290,,2016,NC,S,00,3,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
True,2016,False,,,"WASSERMAN SCHULTZ, DEBBIE",DEM,D,H4FL20023,C00385773,2016,FL,H,23,,1142410.92,698940.61,1036668.28,0.00,468254.56,2015-12-31,0.00,0.00,0.00
True,2016,False,,,"LAWRENCE, BRENDA LULENAR",DEM,D,H2MI14111,C00552588,2016,MI,H,14,,357917.40,144340.25,297545.00,0.00,141481.61,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"DUFFY, HUNTER",IND,,NULL,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
True,2016,False,,,"FRANKEL, LOIS J.",DEM,D,H2FL14053,C00494856,2016,FL,H,22,,1033104.71,759906.38,347242.46,0.00,758618.06,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"MCKART, PATRICK STEPHEN",DEM,D,P60005378,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"COLE, DAVID HAGERTY",DEM,D,H4NJ02157,C00557108,2016,NJ,H,02,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"NANCE, KATHRYN D",REP,R,H6CA09098,C00572404,2016,CA,H,09,,36332.96,32732.96,35053.95,2691.00,1279.01,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"KELSEY, BILL",LIB,,H4TX10184,,2016,TX,H,10,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"REISBORD, SAMUEL M.",IND,,P60011855,C00584490,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"FRIZZO, CHRISTOPHER KRISHNA",OTH,,P60012374,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"DRAGON, MX. ACTUAL LITERAL",SUS,,P60015286,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"IRWIN, PATRICK ROBERT",IND,,P60017274,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"JEFF, TOKAR",REP,R,H6TX32068,C00590877,2016,TX,H,32,,10214.00,8864.00,10083.86,0.00,130.14,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"CARTER-GUTIERREZ, KRISTIE ALANA MRS.",IND,,P60017431,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"EDWARDS, DERRICK",,,S6LA00342,,2016,LA,S,00,3,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
True,2016,False,,,"GIBBS, ROBERT",REP,R,H0OH18077,C00466516,2016,OH,H,07,,448050.42,149909.20,92582.46,10000.00,1222569.88,2015-12-31,19.42,19.42,0.00
False,2016,False,,,"MCNERNEY, JERRY",DEM,D,H4CA11081,C00398644,2016,CA,H,09,,535252.87,323785.09,240169.69,2954.15,442096.49,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"WELLS, ROCKY",IND,,P60016557,,2015,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
True,2016,False,,,"KELLY, GEORGE J JR J. JR.",REP,R,H0PA03271,C00474189,2016,PA,H,03,,930422.06,353442.86,453089.27,277995.00,615723.66,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"FREEMAN, APRIL JUNE",DEM,D,H4FL19058,C00541359,2016,FL,H,19,,66834.46,57987.46,62025.97,0.00,38821.53,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"GRIFFIN, WILLIAM TAYLOR",REP,R,H6NC03146,C00581314,2016,NC,H,03,,224175.76,187369.00,71712.49,0.00,152463.27,2015-12-31,0.00,0.00,0.00
False,2016,False,,,"HAKEEM, JAWAD HASHEM",DEM,D,P60015278,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"ALBERTSON, ED",DEM,D,H6OH12127,,2016,OH,H,12,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"YORK, AMOS DALTON",DEM,D,P60019866,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"VAS, JIMMY",IND,,P60014248,,2015,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"PAHLKE, ELIZABETH DIANE",REP,R,S6IL00367,,2016,IL,S,00,3,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"SMITH, WILLIAM ROGER",,,P60018769,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"OLSON, BRADY",PRO,,P60015831,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"RAFFONE, JOHN LOUIS MR",DEM,D,P60006707,,2016,US,P,00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
False,2016,False,,,"STEWART, NATHAN",DEM,D,H6MS03186,,2016,MS,H,03,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
