"","Pollster","Start.Date","End.Date","Entry.Date.Time","Number.of.Observations","Population","Mode","Trump","Cruz","Rubio","Carson","Kasich","Bush","Christie","Fiorina","Gilmore","Graham","Huckabee","Jindal","Pataki","Perry","Rand.Paul","Santorum","Walker","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Poll.Length","DOW","Weekday","Month","MonthName","Quarter","Year"
"39","Gravis Marketing/One America News",2016-01-10,2016-01-10,2016-01-12 03:26:32,832,"Likely Voters - Republican","Automated Phone",41,20,11,5,4,6,3,4,NA,NA,2,NA,NA,NA,2,0,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-23477",NA,"Sponsor","Rep",0,"0","Sunday","01","January",1,"2016"
"40","Morning Consult",2016-01-08,2016-01-10,2016-01-14 16:33:59,878,"Registered Voters - Republican","Internet",42,10,9,12,2,5,4,1,NA,NA,2,NA,NA,NA,3,1,NA,8,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23500",NA,"Nonpartisan","None",2,"5","Friday","01","January",1,"2016"
"41","CBS/Times",2016-01-07,2016-01-10,2016-01-12 23:50:01,442,"Likely Voters - Republican","Live Phone",36,19,12,6,2,6,3,3,NA,NA,4,NA,NA,NA,1,0,NA,7,"http://elections.huffingtonpost.com/pollster/polls/cbs-times-23488",NA,"Nonpartisan","None",3,"4","Thursday","01","January",1,"2016"
"42","NBC/SurveyMonkey",2016-01-04,2016-01-10,2016-01-12 16:31:24,2852,"Registered Voters - Republican","Internet",38,20,11,9,2,3,3,2,0,NA,2,NA,NA,NA,3,0,NA,5,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23479",NA,"Nonpartisan","None",6,"1","Monday","01","January",1,"2016"
"43","IBD/TIPP",2016-01-04,2016-01-08,2016-01-11 14:07:44,389,"Registered Voters - Republican","Live Phone",34,18,9,8,2,4,4,2,NA,NA,1,NA,NA,NA,3,NA,NA,11,"http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-23468",NA,"Nonpartisan","None",4,"1","Monday","01","January",1,"2016"
"44","FOX",2016-01-04,2016-01-07,2016-01-08 23:44:48,423,"Likely Voters - Republican","Live Phone",35,20,13,10,2,4,2,3,0,NA,1,NA,NA,NA,2,0,NA,6,"http://elections.huffingtonpost.com/pollster/polls/fox-23457",NA,"Nonpartisan","None",3,"1","Monday","01","January",1,"2016"
"45","Ipsos/Reuters",2016-01-02,2016-01-06,2016-01-07 17:18:01,634,"Adults - Republican","Internet",41,15,8,11,1,8,3,1,0,NA,2,NA,NA,NA,3,1,NA,5,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23449",NA,"Nonpartisan","None",4,"6","Saturday","01","January",1,"2016"
"46","YouGov/Economist",2015-12-31,2016-01-06,2016-01-10 22:15:48,469,"Likely Voters - Republican","Internet",36,19,13,6,4,4,4,3,0,NA,2,NA,NA,NA,5,1,NA,2,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23466",NA,"Nonpartisan","None",6,"4","Thursday","12","December",4,"2015"
"47","NBC/SurveyMonkey",2015-12-28,2016-01-03,2016-01-05 13:21:29,949,"Registered Voters - Republican","Internet",35,18,13,9,2,6,4,3,0,NA,2,NA,NA,NA,2,1,NA,5,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23438",NA,"Nonpartisan","None",6,"1","Monday","12","December",4,"2015"
"48","Ipsos/Reuters",2015-12-26,2015-12-30,2015-12-31 18:03:07,722,"Adults - Republican","Internet",39,14,12,12,1,6,2,1,0,NA,2,NA,0,NA,3,1,NA,6,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23429",NA,"Nonpartisan","None",4,"6","Saturday","12","December",4,"2015"
"49","Ipsos/Reuters",2015-12-19,2015-12-23,2015-12-24 02:46:55,626,"Adults - Republican","Internet",39,13,9,10,2,7,3,2,0,NA,3,NA,0,NA,2,3,NA,6,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23413",NA,"Nonpartisan","None",4,"6","Saturday","12","December",4,"2015"
"50","YouGov/Economist",2015-12-18,2015-12-21,2015-12-28 15:19:13,473,"Likely Voters - Republican","Internet",35,19,14,7,3,5,3,3,0,NA,1,NA,0,NA,6,1,NA,2,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23414",NA,"Nonpartisan","None",3,"5","Friday","12","December",4,"2015"
"51","CNN",2015-12-17,2015-12-21,2015-12-23 12:12:21,438,"Registered Voters - Republican","Live Phone",39,18,10,10,2,3,5,1,0,1,2,NA,0,NA,4,0,NA,2,"http://elections.huffingtonpost.com/pollster/polls/cnn-23404",NA,"Nonpartisan","None",4,"4","Thursday","12","December",4,"2015"
"52","Emerson College Polling Society",2015-12-17,2015-12-20,2015-12-21 16:37:14,415,"Likely Voters - Republican","Automated Phone",36,21,13,7,3,6,6,5,NA,0,1,NA,NA,NA,1,NA,NA,1,"http://elections.huffingtonpost.com/pollster/polls/emerson-college-polling-society-23395",NA,"Nonpartisan","None",3,"4","Thursday","12","December",4,"2015"
"53","Quinnipiac",2015-12-16,2015-12-20,2015-12-22 14:45:28,508,"Registered Voters - Republican","Live Phone",28,24,12,10,1,4,6,2,0,0,1,NA,0,NA,2,1,NA,8,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23400",NA,"Nonpartisan","None",4,"3","Wednesday","12","December",4,"2015"
"54","FOX",2015-12-16,2015-12-17,2015-12-18 23:04:23,402,"Likely Voters - Republican","Live Phone",39,18,11,9,2,3,3,3,0,0,1,NA,0,NA,3,1,NA,6,"http://elections.huffingtonpost.com/pollster/polls/fox-23385",NA,"Nonpartisan","None",1,"3","Wednesday","12","December",4,"2015"
"55","Morning Consult",2015-12-16,2015-12-17,2015-12-18 12:23:04,861,"Registered Voters - Republican","Mixed",36,11,9,12,NA,7,2,2,NA,NA,NA,NA,NA,NA,3,NA,NA,11,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23379",NA,"Nonpartisan","None",1,"3","Wednesday","12","December",4,"2015"
"56","PPP (D)",2015-12-16,2015-12-17,2015-12-18 19:45:56,532,"Likely Voters - Republican","IVR/Online",34,18,13,6,2,7,5,4,0,1,4,NA,0,NA,2,1,NA,2,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-23380",NA,"Pollster","Dem",1,"3","Wednesday","12","December",4,"2015"
"57","Ipsos/Reuters",2015-12-12,2015-12-16,2015-12-17 18:34:40,730,"Adults - Republican","Internet",36,14,10,11,2,7,3,3,0,1,5,NA,0,NA,3,0,NA,6,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23361",NA,"Nonpartisan","None",4,"6","Saturday","12","December",4,"2015"
"58","Morning Consult",2015-12-11,2015-12-15,2015-12-15 20:45:27,1530,"Registered Voters - Republican","Internet",40,9,7,10,2,7,3,3,NA,1,3,NA,1,NA,3,1,NA,11,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23333",NA,"Nonpartisan","None",4,"5","Friday","12","December",4,"2015"
"59","ABC/Post",2015-12-10,2015-12-13,2015-12-15 05:24:40,362,"Registered Voters - Republican","Live Phone",38,15,12,12,2,5,4,1,NA,1,1,NA,0,NA,2,0,NA,6,"http://elections.huffingtonpost.com/pollster/polls/abc-post-23326",NA,"Nonpartisan","None",3,"4","Thursday","12","December",4,"2015"
"60","Monmouth University",2015-12-10,2015-12-13,2015-12-14 17:20:35,385,"Registered Voters - Republican","Live Phone",41,14,10,9,3,3,2,2,0,1,2,NA,1,NA,2,0,NA,8,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-23317",NA,"Nonpartisan","None",3,"4","Thursday","12","December",4,"2015"
"61","NBC/WSJ",2015-12-06,2015-12-09,2015-12-13 16:36:01,400,"Likely Voters - Republican","Live Phone",27,22,15,11,2,7,3,5,NA,NA,3,NA,NA,NA,2,NA,NA,3,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-23313",NA,"Nonpartisan","None",3,"0","Sunday","12","December",4,"2015"
"62","Ipsos/Reuters",2015-12-05,2015-12-09,2015-12-10 16:16:52,494,"Adults - Republican","Internet",37,11,12,13,2,5,4,2,0,2,2,NA,1,NA,1,1,NA,6,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23297",NA,"Nonpartisan","None",4,"6","Saturday","12","December",4,"2015"
"63","YouGov/Economist",2015-12-04,2015-12-09,2015-12-10 20:02:45,455,"Likely Voters - Republican","Internet",34,15,17,9,3,4,3,4,0,0,3,NA,0,NA,6,0,NA,1,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23301",NA,"Nonpartisan","None",5,"5","Friday","12","December",4,"2015"
"64","Gravis Marketing/One America News",2015-12-07,2015-12-08,2015-12-10 19:44:46,691,"Likely Voters - Republican","Automated Phone",42,16,11,9,3,6,4,3,NA,1,2,NA,NA,NA,2,1,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-23300",NA,"Sponsor","Rep",1,"1","Monday","12","December",4,"2015"
"65","CBS/Times",2015-12-04,2015-12-08,2015-12-10 13:12:56,431,"Likely Voters - Republican","Live Phone",35,16,9,13,3,3,3,1,0,0,3,NA,0,NA,4,0,NA,7,"http://elections.huffingtonpost.com/pollster/polls/cbs-times-23293",NA,"Nonpartisan","None",4,"5","Friday","12","December",4,"2015"
"66","Zogby (Internet)",2015-12-07,2015-12-07,2015-12-10 01:29:33,271,"Likely Voters - Republican","Internet",38,8,12,13,1,7,4,3,0,0,1,NA,1,NA,1,0,NA,10,"http://elections.huffingtonpost.com/pollster/polls/zogby-internet-23291",NA,"Nonpartisan","None",0,"1","Monday","12","December",4,"2015"
"67","Morning Consult",2015-12-03,2015-12-07,2015-12-08 22:24:57,865,"Registered Voters - Republican","Internet",41,7,10,12,2,5,3,2,NA,1,3,NA,1,NA,2,0,NA,9,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23281",NA,"Nonpartisan","None",4,"4","Thursday","12","December",4,"2015"
"68","Public Religion Research Institute",2015-12-02,2015-12-06,2015-12-10 16:08:19,376,"Registered Voters - Republican","Live Phone",24,10,12,16,2,10,3,2,NA,NA,1,NA,NA,NA,4,NA,NA,14,"http://elections.huffingtonpost.com/pollster/polls/public-religion-research-institute-23296",NA,"Nonpartisan","None",4,"3","Wednesday","12","December",4,"2015"
"69","Suffolk/USA Today",2015-12-02,2015-12-06,2015-12-08 20:23:37,357,"Likely Voters - Republican","Live Phone",27,17,16,10,2,4,2,1,0,0,1,NA,0,NA,2,1,NA,17,"http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-23278",NA,"Nonpartisan","None",4,"3","Wednesday","12","December",4,"2015"
"70","IBD/TIPP",2015-11-30,2015-12-04,2015-12-07 14:56:48,354,"Registered Voters - Republican","Live Phone",27,13,14,15,2,3,2,3,NA,0,2,NA,0,NA,2,0,NA,14,"http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-23266",NA,"Nonpartisan","None",4,"1","Monday","11","November",4,"2015"
"71","Ipsos/Reuters",2015-11-28,2015-12-02,2015-12-03 17:32:37,385,"Adults - Republican","Internet",36,10,7,17,2,11,2,2,0,0,2,NA,0,NA,4,1,NA,5,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23252",NA,"Nonpartisan","None",4,"6","Saturday","11","November",4,"2015"
"72","CNN",2015-11-27,2015-12-01,2015-12-04 12:16:32,445,"Registered Voters - Republican","Live Phone",36,16,12,14,2,3,4,3,0,0,2,0,0,NA,1,0,NA,6,"http://elections.huffingtonpost.com/pollster/polls/cnn-23258",NA,"Nonpartisan","None",4,"5","Friday","11","November",4,"2015"
"73","Quinnipiac",2015-11-23,2015-11-30,2015-12-02 12:04:16,672,"Registered Voters - Republican","Live Phone",27,16,17,16,2,5,2,3,0,0,1,NA,0,NA,2,0,NA,9,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23247",NA,"Nonpartisan","None",7,"1","Monday","11","November",4,"2015"
"74","Ipsos/Reuters",2015-11-21,2015-11-25,2015-11-25 20:56:33,352,"Adults - Republican","Internet",37,11,10,9,3,6,4,3,3,0,3,NA,2,NA,2,0,NA,6,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23238",NA,"Nonpartisan","None",4,"6","Saturday","11","November",4,"2015"
"75","Gravis Marketing/One America News",2015-11-23,2015-11-23,2015-11-25 15:31:26,523,"Likely Voters - Republican","Automated Phone",37,12,14,15,4,8,2,2,NA,2,2,NA,NA,NA,3,1,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-23235",NA,"Sponsor","Rep",0,"1","Monday","11","November",4,"2015"
"76","YouGov/Economist",2015-11-19,2015-11-23,2015-11-25 14:14:12,600,"Likely Voters - Republican","Internet",36,12,14,10,4,6,3,4,0,1,2,NA,0,NA,4,0,NA,3,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23233",NA,"Nonpartisan","None",4,"4","Thursday","11","November",4,"2015"
"77","ABC/Post",2015-11-16,2015-11-19,2015-11-22 15:00:37,373,"Registered Voters - Republican","Live Phone",32,8,11,22,3,6,2,4,NA,1,3,NA,NA,NA,3,1,NA,5,"http://elections.huffingtonpost.com/pollster/polls/abc-post-23205",NA,"Nonpartisan","None",3,"1","Monday","11","November",4,"2015"
"78","FOX",2015-11-16,2015-11-19,2015-11-22 15:14:04,434,"Likely Voters - Republican","Live Phone",28,14,14,18,2,5,3,3,NA,NA,3,NA,1,NA,2,NA,NA,5,"http://elections.huffingtonpost.com/pollster/polls/fox-23207",NA,"Nonpartisan","None",3,"1","Monday","11","November",4,"2015"
"79","Ipsos/Reuters",2015-11-14,2015-11-18,2015-11-19 18:29:31,1299,"Adults - Republican","Internet",37,8,11,14,2,6,3,3,0,0,3,1,0,NA,5,1,NA,6,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23182",NA,"Nonpartisan","None",4,"6","Saturday","11","November",4,"2015"
"80","PPP (D)",2015-11-16,2015-11-17,2015-11-19 15:02:32,607,"Likely Voters - Republican","IVR/Online",26,14,13,19,3,5,3,4,0,1,4,0,1,NA,2,0,NA,2,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-23174",NA,"Pollster","Dem",1,"1","Monday","11","November",4,"2015"
"81","Bloomberg/Selzer",2015-11-15,2015-11-17,2015-11-19 17:27:19,379,"Registered Voters - Republican","Live Phone",24,9,12,20,3,6,4,3,NA,1,3,NA,1,NA,3,1,NA,12,"http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-23179",NA,"Nonpartisan","None",2,"0","Sunday","11","November",4,"2015"
